,Cities,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
275,Vardo,1,US,1559024809,93,39.62,-77.74,68.0,1.66
276,Tuatapere,100,NZ,1559024810,79,-46.13,167.69,55.0,1.99
277,Fare,67,PF,1559024810,77,-16.7,-151.02,81.98,13.44
278,Sabha,0,LY,1559024810,38,27.03,14.43,78.92,16.69
279,Hay River,75,CA,1559024810,65,60.82,-115.79,46.4,9.17
280,Oranjemund,1,ZA,1559024811,94,-28.55,16.43,55.16,11.25
281,Denpasar,20,ID,1559024811,70,-8.65,115.22,84.2,19.46
282,Buraydah,0,SA,1559024811,24,26.33,43.97,93.2,4.7
283,Sao Felix do Xingu,40,BR,1559024812,96,-6.64,-51.99,70.28,3.42
284,Gilbues,28,BR,1559024812,62,-9.83,-45.34,69.38,7.52
285,Laguna,0,MX,1559024813,47,27.52,-110.01,74.06,8.01
286,Spisska Bela,75,SK,1559024813,93,49.19,20.46,63.0,5.82
287,Saint-Philippe,40,CA,1559024813,65,45.36,-73.48,51.8,5.17
288,Kharp,100,RU,1559024813,100,66.82,65.8,36.8,9.37
289,Namatanai,64,PG,1559024814,82,-3.66,152.44,81.62,4.0
290,Iguape,0,BR,1559024814,78,-24.7,-47.56,66.32,4.38
291,Almaznyy,0,RU,1559024814,68,48.03,40.04,69.8,4.47
292,Jatiroto,20,ID,1559024815,49,-6.89,111.01,91.4,14.99
293,Mitsamiouli,20,KM,1559024815,74,-11.38,43.28,80.6,10.29
294,Pisco,7,PE,1559024815,87,-13.71,-76.2,59.0,4.7
295,Marsh Harbour,0,BS,1559024816,67,26.54,-77.06,76.58,8.55
296,Bathsheba,40,BB,1559024816,78,13.22,-59.52,80.6,12.75
297,Dongsheng,0,CN,1559024816,38,29.72,112.52,82.34,15.3
298,Saint-Joseph,0,FR,1559024817,93,43.56,6.97,64.99,2.24
299,San Policarpo,86,PH,1559024817,66,12.18,125.51,87.02,11.92
300,Quelimane,40,MZ,1559024817,57,-17.88,36.89,77.0,4.7
301,Okhotsk,39,RU,1559024817,60,59.36,143.24,50.84,13.85
302,Natal,40,BR,1559024818,88,-5.81,-35.21,75.2,4.7
303,Aitape,39,PG,1559024818,73,-3.15,142.36,84.5,7.23
304,Louviers,3,FR,1559024818,93,49.22,1.16,55.0,6.93
305,Tautira,0,PF,1559024819,73,-17.73,-149.15,75.2,2.24
306,Mount Isa,18,AU,1559024819,20,-20.73,139.49,75.2,10.29
307,Goderich,100,CA,1559024820,86,43.74,-81.71,55.99,11.01
308,Torbay,90,CA,1559024820,100,47.66,-52.73,37.99,8.05
309,Bilibino,99,RU,1559024820,96,68.06,166.44,34.82,1.95
310,Praia da Vitoria,75,PT,1559024820,77,38.73,-27.07,64.4,11.86
311,Leningradskiy,77,RU,1559024881,94,69.38,178.42,32.84,7.83
312,Tomatlan,53,MX,1559024881,87,19.93,-105.25,75.5,3.33
313,Sinazongwe,0,ZM,1559024881,61,-17.26,27.46,62.72,0.25
314,Paita,61,PE,1559024882,91,-5.09,-81.11,67.94,12.68
315,Mozarlandia,43,BR,1559024882,70,-14.74,-50.57,74.24,2.89
316,Honningsvag,20,NO,1559024882,81,70.98,25.97,41.0,11.41
317,Herat,0,AF,1559024883,14,34.35,62.22,91.4,6.93
318,Pitimbu,40,BR,1559024883,100,-7.47,-34.81,73.4,5.82
319,Doctor Arroyo,21,MX,1559024883,64,23.67,-100.18,67.22,10.13
320,Kuminskiy,67,RU,1559024884,56,58.67,66.57,70.28,13.8
321,Burns Lake,68,CA,1559024884,49,54.23,-125.76,54.98,3.89
322,Iqaluit,90,CA,1559024885,86,63.75,-68.52,33.8,9.17
323,Kropotkin,0,RU,1559024885,73,45.43,40.58,69.2,0.27
324,Haveli,0,PK,1559024886,20,33.47,72.12,95.0,10.29
325,Bilma,8,NE,1559024886,12,18.69,12.92,90.08,5.46
326,Hemsedal,1,NO,1559024886,66,60.86,8.55,33.01,3.0
327,Hovd,75,NO,1559024887,70,63.83,10.7,45.0,2.24
328,Port Blair,75,IN,1559024887,74,11.67,92.75,86.0,8.05
329,Northam,20,GB,1559024888,87,51.04,-4.21,54.0,4.7
330,Asosa,97,ET,1559024888,70,10.07,34.53,74.96,2.68
331,Chocope,75,PE,1559024888,82,-7.79,-79.22,66.2,8.05
332,Georgetown,40,GY,1559024833,94,6.8,-58.16,77.0,4.7
333,Kodinsk,56,RU,1559024889,60,58.6,99.18,48.68,9.13
334,Kommunar,75,RU,1559024889,82,59.62,30.39,57.99,11.18
335,Padang,20,ID,1559024890,70,-0.92,100.36,89.6,4.7
336,Smolenka,99,PL,1559024890,96,54.15,22.76,59.48,8.41
337,Salmon Arm,73,CA,1559024890,80,50.7,-119.29,55.99,2.62
338,Manoel Urbano,65,BR,1559024891,85,-8.84,-69.26,73.7,2.1
339,Kamenka,52,RU,1559024891,70,53.19,44.05,66.14,4.88
340,Zhob,0,PK,1559024891,8,31.34,69.45,82.7,12.82
341,Lulea,0,SE,1559024892,81,65.58,22.15,46.4,8.05
342,Vilhena,68,BR,1559024892,86,-12.74,-60.15,70.1,1.79
343,Ridgecrest,1,US,1559024709,47,35.62,-117.67,57.2,10.29
344,Belyy Yar,0,RU,1559024892,33,53.6,91.39,59.0,4.47
345,Samarinda,95,ID,1559024893,63,-0.5,117.14,89.36,2.62
346,Maniitsoq,66,GL,1559024893,81,65.42,-52.9,37.34,5.1
347,Puerto Carreno,100,CO,1559024894,88,6.19,-67.49,77.84,3.51
348,Menongue,1,AO,1559024894,58,-14.66,17.68,53.0,1.7
349,Chuy,100,UY,1559024894,82,-33.69,-53.46,61.28,6.2
350,Mogadishu,37,SO,1559024825,68,2.04,45.34,84.5,13.78
351,Nouadhibou,90,MR,1559024895,88,20.93,-17.03,64.4,12.75
352,Kirakira,100,SB,1559024895,82,-10.46,161.92,81.08,10.69
353,Novouralsk,88,RU,1559024895,48,57.25,60.1,68.3,11.7
354,Khomutovka,12,RU,1559024956,81,51.92,34.56,69.02,9.82
355,Lata,0,IN,1559024956,35,30.78,78.62,46.34,9.24
356,Awbari,19,LY,1559024957,33,26.59,12.77,80.36,12.8
357,Arcos de la Frontera,0,ES,1559024957,82,36.75,-5.81,66.99,2.24
358,Beringovskiy,84,RU,1559024957,66,63.05,179.32,41.48,8.14
359,Jumla,0,NP,1559024957,11,29.28,82.18,73.7,5.01
360,Kamaishi,75,JP,1559024958,57,39.28,141.86,75.2,2.24
361,Launceston,75,AU,1559024959,61,-41.43,147.14,48.99,20.8
362,Lalganj,0,IN,1559024959,11,26.17,80.97,107.6,11.41
363,Rome,75,IT,1559024958,87,41.89,12.48,64.0,3.36
364,Hualmay,91,PE,1559024959,91,-11.1,-77.61,63.26,16.87
365,Kirovskiy,55,RU,1559024960,47,45.09,133.51,64.52,17.22
366,Sabang,100,PH,1559024960,69,13.72,123.58,88.1,7.4
367,Thaba Nchu,0,ZA,1559024960,81,-29.2,26.83,48.2,3.36
368,Chadiza,0,ZM,1559024961,74,-14.06,32.43,62.36,9.42
369,Taoudenni,0,ML,1559024961,12,22.68,-3.98,90.98,7.61
370,Charters Towers,58,AU,1559024961,44,-20.07,146.27,76.94,5.06
371,Ketchikan,1,US,1559024962,71,55.34,-131.65,57.2,4.7
372,Alikovo,0,RU,1559024962,55,55.74,46.75,66.2,8.95
373,Bulgan,100,MN,1559024963,56,48.81,103.53,53.0,12.59
374,Souillac,90,FR,1559024963,87,45.6,-0.6,57.0,8.05
375,Banda Aceh,38,ID,1559024964,71,5.56,95.32,85.22,8.52
376,Dzilam Gonzalez,0,MX,1559024964,81,21.28,-88.93,81.44,18.1
377,Gizo,20,IL,1559024965,61,31.8,34.94,77.0,3.36
378,Upernavik,25,GL,1559024966,81,72.79,-56.15,33.02,11.99
379,Fethiye,0,TR,1559024966,50,36.62,29.12,78.8,1.12
380,Peterhead,40,AU,1559024967,77,-34.83,138.5,61.0,18.34
381,Vanimo,94,PG,1559024967,72,-2.67,141.3,84.32,9.66
382,Fairbanks,1,US,1559024968,31,64.84,-147.72,64.4,3.36
383,Aykhal,90,RU,1559024968,80,65.95,111.51,33.8,13.42
384,Dunedin,100,NZ,1559024968,83,-45.87,170.5,53.01,3.0
385,Iisalmi,75,FI,1559024969,87,63.56,27.19,51.8,8.05
386,Richards Bay,100,ZA,1559024969,78,-28.77,32.06,70.1,7.72
387,Norilsk,75,RU,1559024970,89,69.35,88.2,32.0,4.47
388,Escanaba,90,US,1559024970,93,45.75,-87.06,48.99,11.41
389,San Juan,20,PH,1559024971,53,14.6,121.03,95.0,6.93
390,Vila Velha,20,BR,1559024971,88,-3.71,-38.6,77.0,5.82
391,Karratha,0,AU,1559024971,14,-20.74,116.85,91.88,17.27
392,Dudinka,75,RU,1559024798,86,69.41,86.18,33.8,6.71
393,Chitral,0,PK,1559024972,60,35.85,71.79,41.3,4.63
394,Rovaniemi,20,FI,1559024973,61,66.5,25.72,50.0,5.82
395,Crib Point,99,AU,1559024973,79,-38.35,145.2,59.0,5.01
396,Isla Vista,90,US,1559024973,81,34.41,-119.86,57.2,4.7
397,Chico,90,US,1559024967,59,39.73,-121.84,64.4,4.21
398,Hongjiang,100,CN,1559025034,63,27.21,109.83,68.3,6.76
399,Stokmarknes,75,NO,1559025035,81,68.56,14.91,46.0,3.36
400,Gevrai,0,IN,1559025035,14,19.27,75.75,104.12,11.83
401,Aksarka,100,RU,1559025035,98,66.56,67.8,42.02,17.38
402,Suleja,88,NG,1559024754,85,9.18,7.18,77.66,2.86
403,Bandarbeyla,43,SO,1559025036,46,9.49,50.81,90.8,15.03
404,Ngunguru,34,NZ,1559025036,84,-35.62,174.5,64.0,17.63
405,Koundara,96,GN,1559025037,47,12.49,-13.3,81.26,7.09
406,Si Satchanalai,75,TH,1559025037,53,17.52,99.76,102.0,4.7
407,Cayenne,100,GF,1559025037,94,4.94,-52.33,77.0,3.36
408,Tura,1,IN,1559025037,47,25.52,90.21,94.58,5.46
409,Pascagoula,1,US,1559024797,78,30.37,-88.56,80.6,3.36
410,Tezu,0,IN,1559025038,36,27.93,96.16,92.78,4.05
411,Severo-Kurilsk,46,RU,1559025038,76,50.68,156.12,47.06,9.48
412,Kisangani,99,CD,1559025039,88,0.52,25.21,74.96,1.25
413,Yaan,78,NG,1559025039,81,7.38,8.57,78.38,6.13
414,Katsuura,75,JP,1559025039,88,33.93,134.5,73.4,14.99
415,Antofagasta,0,CL,1559024842,82,-23.65,-70.4,57.2,2.24
416,Ulaangom,12,MN,1559025040,21,49.98,92.07,57.14,7.54
417,Victoria,75,BN,1559024922,49,5.28,115.24,93.2,2.24
418,Nantucket,75,US,1559025001,93,41.28,-70.1,59.0,5.82
419,Iskateley,100,RU,1559025041,95,67.68,53.15,42.56,12.33
420,Raudeberg,40,NO,1559025041,59,61.99,5.14,46.99,8.05
421,Amboasary,40,MG,1559025041,88,-25.04,46.38,69.8,11.41
422,Petropavlovsk-Kamchatskiy,13,RU,1559025042,62,53.05,158.65,55.4,17.9
423,Puerto Madryn,0,AR,1559025027,56,-42.77,-65.04,45.44,11.9
424,Sycamore,1,US,1559025042,94,41.99,-88.69,70.0,9.17
425,Mildura,90,AU,1559025043,55,-34.18,142.16,60.8,13.87
426,Takoradi,100,GH,1559025043,92,4.89,-1.75,76.22,3.06
427,Wajima,75,JP,1559025044,100,37.4,136.9,59.0,5.82
428,Goure,96,NE,1559025044,46,13.98,10.27,85.4,11.07
429,Oskaloosa,75,US,1559025044,78,39.22,-95.31,75.99,5.82
430,Yalutorovsk,43,RU,1559025045,46,56.65,66.31,73.0,7.0
431,Magdagachi,96,RU,1559025045,16,53.45,125.8,67.22,17.22
432,Ivanava,100,BY,1559025045,88,52.14,25.53,64.34,9.1
433,Walvis Bay,0,NA,1559025045,93,-22.95,14.51,50.0,2.24
434,Buta,96,CD,1559025046,74,2.79,24.73,76.4,2.37
435,Kahului,1,US,1559025046,69,20.89,-156.47,78.8,4.7
436,Galle,1,US,1559025046,94,29.74,-97.91,75.2,8.05
437,Penzance,20,GB,1559025047,87,50.12,-5.53,55.0,8.05
438,Suwalki,99,PL,1559025047,96,54.11,22.93,59.48,8.41
439,Shache,100,CN,1559025047,18,38.42,77.24,77.48,1.57
440,Goundam,63,ML,1559025048,18,16.42,-3.66,91.34,10.25
441,Erzin,0,TR,1559025048,53,36.95,36.2,82.4,3.36
442,Portobelo,40,PA,1559025048,83,9.55,-79.65,80.01,5.82
443,Lazurne,12,UA,1559025109,50,46.77,34.99,74.96,6.67
444,Volga,90,US,1559025109,87,44.32,-96.93,53.6,10.29
445,Vila do Maio,20,CV,1559025109,78,15.13,-23.22,71.6,9.17
446,Nalut,0,LY,1559025110,42,31.86,10.98,68.84,9.44
447,Bangui,20,CF,1559025110,100,4.39,18.55,73.4,2.24
448,Westport,75,IE,1559025111,93,53.8,-9.52,52.0,6.93
449,Gidole,93,ET,1559025111,71,5.65,37.37,74.6,0.29
450,Husavik,0,CA,1559025111,65,50.56,-96.99,45.0,9.28
451,Tuy Hoa,97,VN,1559025112,27,13.08,109.3,107.72,0.67
452,Caravelas,39,BR,1559025112,91,-17.73,-39.27,74.24,2.51
453,Divnoye,16,RU,1559025112,62,45.91,43.34,70.64,6.22
454,Haines Junction,0,CA,1559025112,52,60.75,-137.51,52.46,8.99
455,Havoysund,40,NO,1559025113,81,71.0,24.66,42.8,9.17
456,Lamu,44,ID,1559025113,68,0.57,122.3,84.86,7.4
457,Komsomolskiy,100,RU,1559025071,100,67.55,63.78,37.34,13.27
458,Queanbeyan,90,AU,1559024870,93,-35.35,149.23,46.99,18.34
459,Waipawa,100,NZ,1559025114,92,-39.94,176.59,57.99,1.99
460,Biloxi,75,US,1559025114,74,30.4,-88.89,82.4,5.82
461,Whitehorse,20,CA,1559025115,36,60.72,-135.06,64.4,17.22
462,Talnakh,75,RU,1559025115,89,69.49,88.39,32.0,4.47
463,La Palma,100,CO,1559025116,95,5.36,-74.39,68.12,2.71
464,Tabuk,100,PH,1559025116,81,17.41,121.44,74.06,2.55
465,Suntar,61,RU,1559025117,50,62.16,117.65,64.34,12.19
466,Dafeng,94,CN,1559025117,29,33.2,120.46,80.01,4.63
467,Xining,5,CN,1559025117,34,36.62,101.77,62.72,9.44
468,Los Llanos de Aridane,75,ES,1559025117,72,28.66,-17.92,68.0,10.29
469,Jutai,100,BR,1559025118,99,-1.71,-47.89,72.08,2.06
470,Huambo,0,AO,1559025118,71,-12.78,15.73,51.8,2.84
471,Brae,20,GB,1559025118,80,60.4,-1.35,41.0,4.7
472,Uporovo,55,RU,1559025119,47,56.31,66.27,74.06,14.23
473,Kupang,20,ID,1559025119,36,-10.16,123.6,93.2,25.28
474,Asbe Teferi,43,ET,1559025119,54,9.08,40.87,74.96,2.93
475,Shebunino,40,RU,1559025120,68,57.66,40.04,64.4,13.42
476,Tecoanapa,75,MX,1559025120,79,16.99,-99.26,84.2,4.7
477,Gouyave,20,GD,1559025120,83,12.16,-61.73,80.6,11.41
478,Saint-Francois,90,FR,1559025120,87,46.42,3.91,53.6,9.17
479,Rio Verde de Mato Grosso,0,BR,1559025121,73,-18.92,-54.84,72.62,5.75
480,Atar,37,MR,1559025121,19,20.52,-13.05,88.46,9.89
481,Srednekolymsk,86,RU,1559025121,43,67.46,153.71,50.12,7.07
482,Kieta,92,PG,1559025122,74,-6.22,155.63,84.32,8.75
483,Margate,75,AU,1559025122,70,-43.03,147.26,46.99,10.29
484,Ravar,86,IR,1559025122,26,31.27,56.81,77.3,3.42
485,Kushima,75,JP,1559025123,65,31.5,131.29,82.4,12.75
486,Nanakuli,75,US,1559025123,83,21.39,-158.15,80.6,3.36
487,Plettenberg Bay,91,ZA,1559025123,91,-34.05,23.37,55.52,4.97
488,Blackwater,2,GB,1559025124,93,51.33,-0.78,52.0,4.7
489,Chabahar,7,IR,1559025124,59,25.29,60.65,93.2,4.68
490,Sur,0,OM,1559025184,16,22.57,59.53,102.68,3.87
491,Tual,100,ID,1559025184,77,-5.67,132.75,82.34,17.36
492,Soyo,20,AO,1559025185,94,-6.13,12.37,75.2,7.34
493,Arlit,23,NE,1559025185,11,18.74,7.39,91.52,5.88
494,Mugur-Aksy,0,RU,1559025186,35,50.38,90.44,37.34,4.25
495,Verkhnevilyuysk,100,RU,1559025186,59,63.45,120.31,58.4,2.3
496,Wenling,95,CN,1559025186,62,28.38,121.38,78.01,6.8
497,Fort-Shevchenko,0,KZ,1559025187,78,44.51,50.26,66.68,15.12
498,Rocha,100,UY,1559025187,97,-34.48,-54.34,54.8,2.1
499,Ust-Tarka,66,RU,1559025188,34,55.56,75.71,71.72,17.07
500,Santa Isabel do Rio Negro,100,BR,1559025188,94,-0.41,-65.02,74.24,1.52
501,Olonets,87,RU,1559025189,94,60.98,32.97,44.72,9.48
502,Damaturu,66,NG,1559025189,47,11.75,11.96,87.74,15.64
503,Kano,100,NG,1559025189,53,11.99,8.53,84.5,15.37
504,Ilulissat,18,GL,1559025190,69,69.22,-51.1,39.2,6.91
505,Aksu,0,KZ,1559025190,19,52.04,76.93,71.6,15.66
506,Gardner,75,US,1559025092,78,38.81,-94.93,75.99,8.05
507,Namibe,0,AO,1559025191,69,-15.19,12.15,72.26,5.75
508,Mandera,33,ET,1559025191,55,3.94,41.86,83.6,16.64
509,Linjiang,59,CN,1559025192,58,41.81,126.91,55.34,17.92
510,Burton,90,US,1559025158,87,43.0,-83.62,57.99,5.82
511,Gigmoto,100,PH,1559025192,69,13.78,124.39,86.66,7.56
512,Pangai,20,TO,1559025193,78,-19.8,-174.35,77.0,18.34
513,Saint Anthony,90,US,1559025193,87,43.97,-111.68,48.2,8.41
514,Rudnogorsk,98,RU,1559025193,34,57.27,103.75,52.28,8.3
515,Saint-Paul,90,FR,1559025194,93,45.22,1.9,53.01,10.29
516,Moerai,20,PF,1559025194,82,-22.43,-151.33,74.24,26.31
517,Requena,0,ES,1559025194,77,39.49,-1.1,66.99,3.36
518,Isoka,56,ZM,1559025195,82,-10.15,32.64,61.82,6.13
519,Coihaique,0,CL,1559025195,93,-45.58,-72.07,35.6,5.82
520,Mwingi,52,KE,1559025195,78,-0.93,38.07,68.84,7.81
521,Jaisalmer,0,IN,1559025199,17,26.91,70.91,105.74,9.62
522,Nogliki,98,RU,1559025199,88,51.8,143.14,42.38,18.81
523,Port Augusta,75,AU,1559025199,55,-32.49,137.76,64.4,14.99
524,Hami,34,CN,1559025200,8,42.84,93.51,79.1,3.8
525,Beloha,0,MG,1559025200,58,-25.17,45.06,70.28,12.28
526,Poso,100,ID,1559025200,86,-1.4,120.75,72.08,4.14
527,Burnie,93,AU,1559025201,78,-41.05,145.91,48.99,11.01
528,Ujjain,0,IN,1559025111,21,23.17,75.79,100.4,9.17
529,Pochutla,67,MX,1559025201,88,15.74,-96.47,75.99,2.37
530,Baykit,99,RU,1559025202,49,61.68,96.39,48.86,10.92
531,Viedma,26,AR,1559025202,55,-40.81,-62.99,51.56,8.81
532,Petatlan,72,MX,1559025202,79,17.52,-101.27,81.44,4.32
533,Alice Springs,0,AU,1559025024,28,-23.7,133.88,68.0,8.05
534,Prince George,1,CA,1559025263,58,53.92,-122.75,57.2,4.7
535,Koutiala,100,ML,1559025263,59,12.39,-5.46,85.4,17.76
536,Devarkonda,32,IN,1559025263,16,16.69,78.91,107.0,6.87
537,Beyneu,79,KZ,1559025264,50,45.32,55.19,73.7,13.2
538,Lariano,40,IT,1559025264,87,41.73,12.83,66.0,0.27
539,Juneau,40,US,1559025170,62,58.3,-134.42,59.0,5.82
540,Nuuk,52,GL,1559025265,79,64.17,-51.74,32.0,4.7
541,Dwarka,0,IN,1559025265,11,28.58,77.04,104.0,11.41
542,Santa Barbara,90,US,1559025265,81,34.42,-119.7,57.2,4.7
543,Deputatskiy,1,RU,1559025266,74,69.3,139.9,38.78,1.54
544,Del Rio,1,US,1559025135,78,29.36,-100.9,80.6,20.8
545,Rundu,0,NA,1559025266,40,-17.91,19.77,51.8,3.36
546,Bara,91,NG,1559025267,54,10.41,10.6,83.42,8.25
547,Damietta,0,EG,1559025267,73,31.42,31.81,75.2,5.82
548,Wilmington,1,US,1559025055,93,39.75,-75.55,64.99,2.19
549,Ahuimanu,75,US,1559025268,69,21.44,-157.84,80.6,5.82
550,Suhbaatar,100,MN,1559025268,52,50.23,106.21,49.4,19.01
